Bore.ID,Easting,Northing,Latitude.x,Longitude.x,Date,SWL,Drilled.Depth..m.,Elevation..m.,Slope..degree.,Wetness.index,MRVBF,Lithology,Mrainfall.mm.,Salinity,Longitude.y,Latitude.y,Completed Depth
GW020081,599709,6159581,-34.7009,148.0887,23/07/1982,6.18,14.3,325,0.327336,9.6672802,4,Qa,2.4,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,22/09/1980,6.62,14.3,325,0.327336,9.6672802,4,Qa,37.2,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,21/12/1977,6.4,14.3,325,0.327336,9.6672802,4,Qa,1.3,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,21/06/1989,1.17,14.3,325,0.327336,9.6672802,4,Qa,55.6,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,21/05/1975,7.53,14.3,325,0.327336,9.6672802,4,Qa,23.4,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,26/05/1990,2.57,14.3,325,0.327336,9.6672802,4,Qa,76.4,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,14/08/1975,7.47,14.3,325,0.327336,9.6672802,4,Qa,69.1,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,9/01/1984,0,14.3,325,0.327336,9.6672802,4,Qa,277.8,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,8/11/1978,0,14.3,325,0.327336,9.6672802,4,Qa,59.3,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,8/08/1974,8.9,14.3,325,0.327336,9.6672802,4,Qa,72.8,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,8/07/1980,6.65,14.3,325,0.327336,9.6672802,4,Qa,69.4,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,7/03/1988,3.35,14.3,325,0.327336,9.6672802,4,Qa,25.9,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,7/01/1976,6.98,14.3,325,0.327336,9.6672802,4,Qa,112,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,6/11/1979,6.46,14.3,325,0.327336,9.6672802,4,Qa,23.9,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,6/08/1979,6.33,14.3,325,0.327336,9.6672802,4,Qa,48.7,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,5/10/1978,6.45,14.3,325,0.327336,9.6672802,4,Qa,44.3,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,5/05/1978,0,14.3,325,0.327336,9.6672802,4,Qa,101.2,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,9/03/1990,2.8,14.3,325,0.327336,9.6672802,4,Qa,4,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,4/04/1979,6.41,14.3,325,0.327336,9.6672802,4,Qa,107.4,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,4/05/1989,1.38,14.3,325,0.327336,9.6672802,4,Qa,92.2,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,4/01/1979,6.23,14.3,325,0.327336,9.6672802,4,Qa,15.3,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,3/12/1979,6.54,14.3,325,0.327336,9.6672802,4,Qa,0,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,3/08/1990,1.42,14.3,325,0.327336,9.6672802,4,Qa,86.3,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,3/01/1975,8.17,14.3,325,0.327336,9.6672802,4,Qa,36.4,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,2/12/1980,6.72,14.3,325,0.327336,9.6672802,4,Qa,97.7,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,2/08/1985,3.58,14.3,325,0.327336,9.6672802,4,Qa,139,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,1/12/1981,6.07,14.3,325,0.327336,9.6672802,4,Qa,28.6,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,1/12/1978,0,14.3,325,0.327336,9.6672802,4,Qa,75.3,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,1/11/1982,6.28,14.3,325,0.327336,9.6672802,4,Qa,0.2,NA,148.0887,34.7009,14.3
