Work No,Measurement date,Standing_Water_level (m),Easting,Longitude,Latitude,Northing
GW020352,8/11/1978,0,"599,045",148.0815,-34.7029,"6,159,372"
GW020775,15/01/1999,8.03,"599,834",148.0909,-34.7665,"6,152,308"
GW020775,1/11/1987,10.1,"599,834",148.0909,-34.7665,"6,152,308"
GW021206,1/11/1987,9.85,"589,552",147.9768,-34.6123,"6,169,512"
GW021206,15/01/1999,10.69,"589,552",147.9768,-34.6123,"6,169,512"
GW021206,15/10/1996,9.1,"589,552",147.9768,-34.6123,"6,169,512"
GW022280,19/04/1998,3.02,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,19/05/1992,1.5,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,19/05/1997,2.16,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,19/06/1992,1.3,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,19/08/1992,0.84,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,19/09/1968,10.37,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,19/11/1997,2.01,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,20/04/1996,1.98,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,20/06/1993,1.52,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,19/02/1968,10.88,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,22/04/1997,2.21,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,16/03/1998,2.87,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,22/04/1992,1.63,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,24/03/1998,2.92,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,14/09/1997,1.63,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,15/01/1971,10.06,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,15/01/1999,1.6,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,15/06/1998,3.07,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,15/07/1992,1.45,"602,497",148.1184,-34.6476,"6,165,465"
