cells,Latitude,Longitude,Date.x,Rainfall,MDate,FID,Work_No,Date.y,Standing_W,Easting,Northing,Elevation..m.,Slope..degree.,Wetness.index,MRVBF,Lithology,Yield Description,Drilled Depth,Salinity
29,-34.7029,148.0815,1980-05-16,96.59999999999991,1980-05-01,231,GW020352,1980-05-19,6.16,599045,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
29,-34.7068,148.0804,1980-07-16,69.39999999999964,1980-07-01,56,GW014595,1980-07-08,5.34,598939,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
29,-34.7008999999999,148.088699999999,1980-07-16,69.39999999999964,1980-07-01,153,GW020081,1980-07-08,6.65,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
29,-34.7029,148.0815,1980-07-16,69.39999999999964,1980-07-01,249,GW020352,1980-07-08,6.17,599045,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
29,-34.7068,148.0804,1980-08-16,46.399999999999636,1980-08-01,40,GW014595,1980-08-29,5.24,598939,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
29,-34.7008999999999,148.088699999999,1980-08-16,46.399999999999636,1980-08-01,119,GW020081,1980-08-29,6.62,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
29,-34.7029,148.0815,1980-08-16,46.399999999999636,1980-08-01,223,GW020352,1980-08-29,6.3,599045,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
29,-34.7068,148.0804,1980-09-16,37.19999999999982,1980-09-01,52,GW014595,1980-09-22,5.3,598939,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
29,-34.7008999999999,148.088699999999,1980-09-16,37.19999999999982,1980-09-01,144,GW020081,1980-09-22,6.62,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
29,-34.7029,148.0815,1980-09-16,37.19999999999982,1980-09-01,234,GW020352,1980-09-22,6.28,599045,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
29,-34.7068,148.0804,1980-11-16,13,1980-11-01,89,GW014595,1980-11-11,5.41,598939,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
29,-34.7008999999999,148.088699999999,1980-11-16,13,1980-11-01,196,GW020081,1980-11-11,6.68,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
29,-34.7029,148.0815,1980-11-16,13,1980-11-01,270,GW020352,1980-11-11,6.39,599045,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
29,-34.7068,148.0804,1980-12-16,97.69999999999982,1980-12-01,66,GW014595,1980-12-02,0,598939,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
29,-34.7008999999999,148.088699999999,1980-12-16,97.69999999999982,1980-12-01,167,GW020081,1980-12-02,6.72,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
29,-34.7029,148.0815,1980-12-16,97.69999999999982,1980-12-01,250,GW020352,1980-12-02,6.2,599045,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
29,-34.7068,148.0804,1981-01-16,55.19999999999982,1981-01-01,36,GW014595,1981-01-13,4.99,598939,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
29,-34.7008999999999,148.088699999999,1981-01-16,55.19999999999982,1981-01-01,185,GW020081,1981-01-13,6.75,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
29,-34.7029,148.0815,1981-01-16,55.19999999999982,1981-01-01,266,GW020352,1981-01-13,6.25,599045,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
29,-34.7068,148.0804,1981-02-15,76.19999999999982,1981-02-01,21,GW014595,1981-02-19,5.29,598939,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
29,-34.7008999999999,148.088699999999,1981-02-15,76.19999999999982,1981-02-01,104,GW020081,1981-02-19,6.74,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
