cells,Latitude,Longitude,Date.x,Rainfall,MDate,FID,Work_No,Date.y,Standing_W,Easting,Northing,Elevation..m.,Slope..degree.,Wetness.index,MRVBF,Lithology,Drilled.Depth,Salinity
42,-34.7009,148.0887,1980-09-16,37.19999999999982,1980-09-01,144,GW020081,1980-09-22,6.62,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1977-12-16,1.2999999999997272,1977-12-01,145,GW020081,1977-12-21,6.4,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1989-06-16,55.59999999999991,1989-06-01,146,GW020081,1989-06-21,1.17,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1975-05-16,23.399999999999636,1975-05-01,147,GW020081,1975-05-21,7.53,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1990-05-16,76.39999999999964,1990-05-01,148,GW020081,1990-05-26,2.57,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1975-08-16,69.09999999999991,1975-08-01,149,GW020081,1975-08-14,7.47,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1984-01-16,277.7999999999997,1984-01-01,150,GW020081,1984-01-09,0,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1978-11-16,59.29999999999973,1978-11-01,151,GW020081,1978-11-08,0,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1974-08-16,72.79999999999973,1974-08-01,152,GW020081,1974-08-08,8.9,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1980-07-16,69.39999999999964,1980-07-01,153,GW020081,1980-07-08,6.65,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1988-03-16,25.899999999999636,1988-03-01,154,GW020081,1988-03-07,3.35,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1976-01-16,112,1976-01-01,155,GW020081,1976-01-07,6.98,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1979-11-16,23.899999999999636,1979-11-01,156,GW020081,1979-11-06,6.46,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1979-08-16,48.69999999999982,1979-08-01,157,GW020081,1979-08-06,6.33,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1978-10-16,44.29999999999973,1978-10-01,158,GW020081,1978-10-05,6.45,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1978-05-16,101.19999999999982,1978-05-01,159,GW020081,1978-05-05,0,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
